GEOID,NAME,LSAD
"48540","Wheeling, WV-OH",M1
"44500","Stephenville, TX",M2
"19860","Dickinson, ND",M2
"33580","Mitchell, SD",M2
"23300","Freeport, IL",M2
"38620","Ponca City, OK",M2
"18100","Columbus, NE",M2
"48620","Wichita, KS",M1
"27500","Janesville-Beloit, WI",M1
"36820","Oskaloosa, IA",M2
"10220","Ada, OK",M2
"29980","Lawrenceburg, TN",M2
"35840","North Port-Sarasota-Bradenton, FL",M1
"44220","Springfield, OH",M1
"24380","Grants, NM",M2
"40860","Rutland, VT",M2
"16700","Charleston-North Charleston, SC",M1
"23620","Gainesville, TX",M2
"15620","Cadillac, MI",M2
"22280","Fernley, NV",M2
"47420","Wahpeton, ND-MN",M2
"48220","Weatherford, OK",M2
"39700","Raymondville, TX",M2
"38940","Port St. Lucie, FL",M1
"38700","Pontiac, IL",M2
"30420","Lexington, NE",M2
"13100","Beatrice, NE",M2
"33260","Midland, TX",M1
"11380","Andrews, TX",M2
"43100","Sheboygan, WI",M1
"10760","Alexander City, AL",M2
"23820","Gardnerville Ranchos, NV",M2
"22540","Fond du Lac, WI",M1
"39060","Pottsville, PA",M2
"18380","Cordele, GA",M2
"48980","Wilson, NC",M2
"43780","South Bend-Mishawaka, IN-MI",M1
"12620","Bangor, ME",M1
"26980","Iowa City, IA",M1
"44260","Starkville, MS",M2
"25880","Hillsdale, MI",M2
"19220","Danville, KY",M2
"22260","Fergus Falls, MN",M2
"19140","Dalton, GA",M1
"34940","Naples-Marco Island, FL",M1
"22340","Fitzgerald, GA",M2
"11500","Anniston-Oxford, AL",M1
"45860","Torrington, CT",M2
"40980","Saginaw, MI",M1
"18180","Concord, NH",M2
"41100","St. George, UT",M1
"40300","Rochelle, IL",M2
"14620","Bradford, PA",M2
"45140","Tahlequah, OK",M2
"42740","Sedalia, MO",M2
"27530","Jasper, AL",M2
"36340","Oil City, PA",M2
"43380","Sidney, OH",M2
"13260","Bedford, IN",M2
"31820","Manitowoc, WI",M2
"18740","Coshocton, OH",M2
"23340","Fremont, NE",M2
"32340","Maryville, MO",M2
"13020","Bay City, MI",M1
"43660","Snyder, TX",M2
"29660","Laramie, WY",M2
"35860","North Vernon, IN",M2
"22060","Faribault-Northfield, MN",M2
"32540","McAlester, OK",M2
"42860","Seneca, SC",M2
"48020","Watertown-Fort Atkinson, WI",M2
"24180","Granbury, TX",M2
"38260","Pittsburg, KS",M2
"47700","Warsaw, IN",M2
"17260","Clarksdale, MS",M2
"40580","Rocky Mount, NC",M1
"21900","Fairmont, WV",M2
"17740","Coldwater, MI",M2
"38580","Point Pleasant, WV-OH",M2
"12740","Barre, VT",M2
"10820","Alexandria, MN",M2
"23660","Galesburg, IL",M2
"23780","Garden City, KS",M2
"48460","West Plains, MO",M2
"33220","Midland, MI",M1
"36900","Ottumwa, IA",M2
"34140","Moscow, ID",M2
"45620","Thomasville, GA",M2
"34700","Muscatine, IA",M2
"21500","Erie, PA",M1
"26460","Hudson, NY",M2
"21860","Fairmont, MN",M2
"48100","Wauchula, FL",M2
"44900","Summerville, GA",M2
"37940","Peru, IN",M2
"45660","Tiffin, OH",M2
"21460","Enterprise, AL",M2
"23060","Fort Wayne, IN",M1
"19740","Denver-Aurora-Lakewood, CO",M1
"25580","Hastings, NE",M2
"18820","Crawfordsville, IN",M2
"15740","Cambridge, OH",M2
"48500","West Point, MS",M2
"25100","Guymon, OK",M2
"20340","Duncan, OK",M2
"49820","Zapata, TX",M2
"29060","Laconia, NH",M2
"25820","Hereford, TX",M2
"12140","Auburn, IN",M2
"12300","Augusta-Waterville, ME",M2
"32020","Marion, OH",M2
"40420","Rockford, IL",M1
"11220","Amsterdam, NY",M2
"10180","Abilene, TX",M1
"22420","Flint, MI",M1
"49780","Zanesville, OH",M2
"36020","Oak Harbor, WA",M2
"37860","Pensacola-Ferry Pass-Brent, FL",M1
"25460","Harrison, AR",M2
"41760","Sandpoint, ID",M2
"28580","Key West, FL",M2
"13940","Blackfoot, ID",M2
"39460","Punta Gorda, FL",M1
"16380","Celina, OH",M2
"21420","Enid, OK",M1
"10300","Adrian, MI",M2
"19980","Dodge City, KS",M2
"45740","Toccoa, GA",M2
"11020","Altoona, PA",M1
"12380","Austin, MN",M2
"48140","Wausau-Weston, WI",M1
"32620","McComb, MS",M2
"34220","Moultrie, GA",M2
"26220","Hood River, OR",M2
"46180","Tupelo, MS",M2
"47980","Watertown, SD",M2
"11180","Ames, IA",M1
"12540","Bakersfield, CA",M1
"46460","Union City, TN",M2
"34660","Murray, KY",M2
"33020","Mexico, MO",M2
"37500","Paragould, AR",M2
"39900","Reno, NV",M1
"31700","Manchester-Nashua, NH",M1
